granularity,quantile,feature,importance
campaign_type,0.5,is_weekend,0
campaign_type,0.5,roas,1082
campaign_type,0.5,cpc,275
campaign_type,0.5,cvr,244
campaign_type,0.5,budget_utilization,216
campaign_type,0.5,days_since_campaign_start,211
campaign_type,0.5,revenue_roll_7d_mean,147
campaign_type,0.5,revenue_roll_7d_std,198
campaign_type,0.5,spend_roll_7d_mean,193
campaign_type,0.5,spend_roll_7d_std,179
campaign_type,0.5,roas_roll_7d_mean,166
campaign_type,0.5,clicks_roll_7d_mean,220
campaign_type,0.5,revenue_roll_14d_mean,161
campaign_type,0.5,revenue_roll_14d_std,133
campaign_type,0.5,spend_roll_14d_mean,130
campaign_type,0.5,spend_roll_14d_std,167
campaign_type,0.5,roas_roll_14d_mean,135
campaign_type,0.5,clicks_roll_14d_mean,169
campaign_type,0.5,revenue_roll_30d_mean,165
campaign_type,0.5,revenue_roll_30d_std,94
campaign_type,0.5,spend_roll_30d_mean,136
campaign_type,0.5,spend_roll_30d_std,146
campaign_type,0.5,roas_roll_30d_mean,167
campaign_type,0.5,clicks_roll_30d_mean,194
campaign_type,0.5,revenue_momentum,179
campaign_type,0.5,spend_momentum,160
campaign_type,0.9,channel,2
campaign_type,0.9,campaign_type,7
campaign_type,0.9,spend,613
campaign_type,0.9,clicks,317
campaign_type,0.9,impressions,157
campaign_type,0.9,daily_budget,49
campaign_type,0.9,month,17
campaign_type,0.9,day_of_week,35
campaign_type,0.9,week_of_year,48
campaign_type,0.9,quarter,0
campaign_type,0.9,is_weekend,2
campaign_type,0.9,roas,972
campaign_type,0.9,cpc,177
campaign_type,0.9,cvr,157
campaign_type,0.9,budget_utilization,149
campaign_type,0.9,days_since_campaign_start,137
campaign_type,0.9,revenue_roll_7d_mean,124
campaign_type,0.9,revenue_roll_7d_std,134
campaign_type,0.9,spend_roll_7d_mean,58
campaign_type,0.9,spend_roll_7d_std,110
campaign_type,0.9,roas_roll_7d_mean,144
campaign_type,0.9,clicks_roll_7d_mean,76
campaign_type,0.9,revenue_roll_14d_mean,58
campaign_type,0.9,revenue_roll_14d_std,83
campaign_type,0.9,spend_roll_14d_mean,43
campaign_type,0.9,spend_roll_14d_std,76
campaign_type,0.9,roas_roll_14d_mean,97
campaign_type,0.9,clicks_roll_14d_mean,36
campaign_type,0.9,revenue_roll_30d_mean,64
campaign_type,0.9,revenue_roll_30d_std,78
campaign_type,0.9,spend_roll_30d_mean,52
campaign_type,0.9,spend_roll_30d_std,68
campaign_type,0.9,roas_roll_30d_mean,75
campaign_type,0.9,clicks_roll_30d_mean,72
campaign_type,0.9,revenue_momentum,101
campaign_type,0.9,spend_momentum,111
campaign,0.1,channel,28
campaign,0.1,campaign_type,24
campaign,0.1,campaign_name,165
campaign,0.1,spend,1690
campaign,0.1,clicks,832
campaign,0.1,impressions,253
campaign,0.1,daily_budget,124
campaign,0.1,month,72
campaign,0.1,day_of_week,36
